word,polar,size,positive,negative
ยาง,-1,7.284965705278404,2.2196951846274155e-05,0.0007284965705278405
พ_ค,1,6.778607602285261,0.0006778607602285261,4.260213862735909e-05
ซีเรีย,-1,5.13355770459677,1.7074578343287814e-05,0.000513355770459677
ปลูก,-1,4.260213862735909,3.927153018956197e-05,0.0004260213862735909
ข้าว,-1,4.158437353555148,0.00010756984356271323,0.0004473224555872705
ก_ย,-1,3.8767946150896773,6.829831337315125e-06,0.00038767946150896775
วิ่ง,1,3.7342044533332204,0.0006522488927135945,0.0001746687683721723
ค,1,3.722258078836743,0.0003722258078836743,4.260213862735909e-05
ไร่,-1,3.621181783325523,9.561763872241176e-05,0.0003621181783325523
เพิ่ม_ทุน,1,3.1160133908943823,0.00047125836227474363,0.0001512375921271248
รัฐ,-1,2.935367543685987,0.00011610713273435712,0.00034081710901887275
สงคราม,-1,2.83304221871938,4.097898802389075e-05,0.000283304221871938
หุ้น_สามัญ,1,2.805541042163964,0.00033466173552844115,0.00011928598815660546
ไตรมาส,1,2.795922044305116,0.0007444516157673486,0.00026626336642099433
บริษัทฯ,1,2.7490071132693377,0.0002749007113269338,5.964299407830273e-05
vi,-1,2.7052358028373025,9.561763872241176e-05,0.00027052358028373025
น้ำมัน,-1,2.70117626357017,0.00019635765094780985,0.0005303966259106207
รูปแบบ,1,2.6480872081649656,0.0003158796993508245,0.00011928598815660546
กรีด,-1,2.641332594896264,0.0,0.0002641332594896264
หลุด,-1,2.6319865688964903,0.00014001154241496006,0.00036850849912665616
สัปดาห์,1,2.6176699902333413,0.0003568586873747153,0.0001363268436075491
แปลง,1,2.5953359081797474,0.00025953359081797473,5.3252673284198865e-05
ราคา_ทองคำ,1,2.5782613298364594,0.00025782613298364597,6.816342180377454e-05
เมื่อ_เทียบ_กับ,1,2.5782613298364594,0.00025782613298364597,8.733438418608614e-05
ส_ค,-1,2.5561283176415457,5.122373502986344e-06,0.0002556128317641546
หลักทรัพย์,1,2.5536149077655668,0.0003807630970553182,0.00014910748519575683
วัด,-1,2.4709240403868273,8.19579760477815e-05,0.00024709240403868274
เดือน_เม_ย,1,2.441664703090157,0.0002441664703090157,8.520427725471818e-06
หมื่น_ล้าน_บาท,1,2.424590124746869,0.00024245901247468694,9.159459804882206e-05
ตัว_เลข,1,2.376458294538887,0.0004302793742508529,0.00018105908916627616
ประชาชน,-1,2.3644186938184295,9.049526521942541e-05,0.00023644186938184296
ญี่ปุ่น,1,2.307587870178152,0.00048662548278370263,0.0002108805862054275
ผู้_จัดทำ,1,2.3045515703489703,0.00023562918113737182,0.00010224513270566183
พฤษภาคม,1,2.2709189196572788,0.0002270918919657279,2.1301069313679545e-06
สาขา,1,2.208134728603443,0.0004985776876240041,0.0002257913347250032
e_b_e_b,-1,2.2071705953485017,0.00011098475923137079,0.00024496229710731476
เป้าหมาย,1,2.13023468563526,0.00033124681985978357,0.0001554978059898607
หรั่ง,-1,2.1301069313679544,5.122373502986344e-05,0.00021301069313679546
อเมริกา,-1,2.1301069313679544,4.439390369254831e-05,0.00021301069313679546
ร้อย_ละ,1,2.1132646811105182,0.0002475813859776733,0.0001171558812252375
q,1,2.109429355010499,0.00034149156686575624,0.00016188812678396454
ช่อง,1,2.089841796713973,0.00024928884381200206,0.00011928598815660546
ร่วง,-1,2.0875047927405954,9.049526521942541e-05,0.00020875047927405955
บมจ,1,2.083098557881113,0.0002083098557881113,5.538278021556682e-05
อัตรา_ดอกเบี้ย,1,2.083098557881113,0.0002083098557881113,8.94644911174541e-05
รถ_ยนต์,1,2.078178549751084,0.00023904409680602936,0.00011502577429386956
รายงาน,1,2.0634813888617556,0.00044393903692548314,0.00021514080006816342
ตาย,-1,2.0596034062419366,0.00018099053043885082,0.0003727687129893921
แม่,1,2.0540568344414734,0.0004200346272448802,0.00020449026541132366
cgs,1,2.0489494011945375,0.00020489494011945375,6.390320794103864e-06
แตะ,1,2.0148002445079616,0.00020148002445079618,6.390320794103864e-05
เด้ง,-1,2.0065187230440924,0.0002441664703090157,0.0004899245942146295
ทหาร,-1,2.0023005154858775,3.927153018956197e-05,0.00020023005154858774
jas,-1,2.0023005154858775,9.049526521942541e-05,0.00020023005154858774
ดูแล,1,1.9981493136737132,0.00029368274750455036,0.00014697737826438887
วัน_จันทร์,1,1.9977256661646738,0.0001997725666164674,4.0472031695991136e-05
รัฐบาล,-1,1.9886388532347887,0.0003449064825344138,0.0006858944319004814
ไม้,-1,1.9875920910212745,0.00010074001222539809,0.00020023005154858774
ไตรมาส_แรก,1,1.9635765094780984,0.00019635765094780985,1.0650534656839773e-05
เกษตรกร,-1,1.959698376858518,4.268644585821953e-05,0.00019596983768585183
ยุโรป,1,1.951023150615371,0.00022026206062841279,0.0001128956673625016
เปลี่ยนแปลง,1,1.9465019311348104,0.00019465019311348106,9.372470498019e-05
ราย_ย่อย,-1,1.9425843065893338,0.00011952204840301468,0.00023218165551910707
อาทิตย์,1,1.9398312348676552,0.00020660239795378254,0.00010650534656839773
กลาย_เป็น,-1,1.9295149320495888,0.0001280593375746586,0.00024709240403868274
เปิด_บัญชี,1,1.9294273527915227,0.00019294273527915227,7.881395646061433e-05
ทิศทาง,1,1.9272105639181025,0.00019294273527915227,0.00010011502577429387
มาตรการ,1,1.9266121442429225,0.00023392172330304303,0.00012141609508797342
รัก,1,1.9175126450644457,0.0002083098557881113,0.00010863545349976569
pttep,-1,1.9170962382311592,7.171322904180882e-05,0.00019170962382311592
the,-1,1.9170962382311592,4.610136152687709e-05,0.00019170962382311592
